a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78
Poa trivialis;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;3;3;0;0;0;3;3;2;3;2;0;0;0;0;0;3;0;0;3;0;2;0;0;0;0;3;3;0;0;2;3
Polygala comosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;0
Populus tremula;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Potentilla erecta;0;0;0;0;2;2;3;2;3;3;0;0;0;0;0;0;2;3;0;3;0;2;0;3;3;3;3;0;3;3;3;2;3;2;2;0;0;2;3;0;2;3;0;0;3;0;0
Potentilla reptans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;3
Prunella vulgaris;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prunus spinosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
Pyrus pyraster;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Quercus robur;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus acris;2;2;1;1;0;0;0;0;0;0;0;0;2;3;0;0;0;2;0;0;1;0;0;0;0;2;0;2;2;3;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0
Ranunculus auricomus;2;2;1;0;1;0;0;0;0;1;0;1;2;3;2;3;0;3;3;3;3;2;3;2;3;3;2;2;0;0;0;0;1;2;0;2;0;0;0;0;2;0;0;0;0;0;0
Ranunculus repens;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
