Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Geum urbanum;ap;art vul;1;4;5;5;5;NA;7;-1.677;0.366;-0.81;0.278;0.366666667;302;151.9693888;3441;37.71285714;Hemicryptophyte;2.047383333;3018.149123;ssv (mostly by seed, rarely vegetatively);csr
Glechoma hederacea;ap;art vul;0;6;6;3;6;NA;7;-1.372;0.431;-0.503;0.404;0.27;160;20.95670149;882;34.9313547;Hemicryptophyte;0.6684;38618.16667;sv (by seed and vegetatively);csr
Hedera helix;ap;que fag;1;4;5;2;5;NA;NA;-1.956;0.242;-0.72;0.072;12.35;253.7777778;NA;1736.533333;11.77272727;Liana;73.695175;2674.5;sv (by seed and vegetatively);cs
Helichrysum arenarium;ap;koe cor;0;8;6;7;2;5;1;-0.513;0.243;-0.176;0.283;0.2;225.86;20.45;404.5;19.11;Hemicryptophyte;0.052;1383.136364;sv (by seed and vegetatively);csr
Hepatica nobilis;sp;que fag;1;4;6;4;4;7;5;-1.971;0.23;-0.737;0.052;0.095;186.405;108.175;2887.75;28.505;Hemicryptophyte;2.31525;1237.842424;sv (by seed and vegetatively);csr
Heracleum sphondyliu ssp. sphondylium;ap;art vul;0;7;5;2;5;NA;8;-1.2;0.387;-0.451;0.378;1.23125;220;3950.459857;81950.66667;22.17196641;Hemicryptophyte;5.91216;20887.17857;ssv (mostly by seed, rarely vegetatively);c
Hieracium laevigatum;sp;que rob-pet;0;7;5;3;5;2;2;-1.632;0.282;-0.606;0.225;NA;NA;NA;NA;20.98;Hemicryptophyte;0.415;4253.958333;sv (by seed and vegetatively);cs
Hieracium murorum;sp;0;1;4;NA;3;5;5;4;-1.955;0.239;-0.723;0.071;0.135;124.175;102.0575;4069.375;40.3;Hemicryptophyte;0.4;59586.66667;sv (by seed and vegetatively);csr
Hieracium pilosella;ap;cal uli;0;7;NA;3;4;NA;2;-1.071;0.255;-0.329;0.272;0.06;188;4.222522523;86;18.49428571;Hemicryptophyte;0.244666667;2996.396429;sv (by seed and vegetatively);csr
Holcus lanatus;ap;mol arr;0;7;6;3;6;NA;5;-0.424;0.3;-0.268;0.326;0.325;230.1775;21.80360852;970.8333333;34.24550705;Hemicryptophyte;0.406916667;157198.44;sv (by seed and vegetatively);c
Holcus mollis;ap;que rob-pet;0;5;5;2;5;2;3;-0.889;0.498;-0.339;0.509;0.275;216;30.11501273;1053.5;40.29666667;Hemicryptophyte;0.3484;42833.96666;vvs (mostly vegetatively, rarely by seed);csr
Humulus lupulus;ap;art vul;0;7;6;3;8;6;8;-1.416;0.348;-0.821;0.308;5.5;292.5;436.3885606;7711;23.96666667;Liana;4.112583333;40.84;sv (by seed and vegetatively);c
Hylocomium splendens;sp;vac pic;0;6;3;6;4;5;NA;NA;NA;NA;NA;0.175;NA;NA;NA;NA;moss;NA;NA;NA;NA
