Car-fir1;Car-fir2;Car-fir3;Car-fir4;Car-fir5;Car-fir6;Car-fir7;Car-fir8;Car-fir9;Car-fir10;Fes-ame1;Fes-ame2;Fes-ame3;Fes-ame4;Fes-ame5;Fes-ame6;Fes-ame7;Fes-ame8;Fes-var-cal1;Fes-var-cal2;Fes-var-cal3;Fes-var-cal4;Fes-var-cal5;Fes-var-cal6;Das-dry1;Das-dry2;Das-dry3;Das-dry4
spec188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec189;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;3;0;0;0;0;0;0;0;0;0;0
spec190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
spec191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;0
spec192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec196;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
spec197;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;3;2;0;0;2;0;2
spec198;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
spec199;0;0;0;0;0;0;3;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
spec200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
spec201;0;0;3;0;1;3;1;0;0;0;0;0;0;0;3;0;3;0;3;3;3;3;3;2;0;0;1;2
spec202;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;2
spec205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec206;0;0;3;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
spec207;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
spec208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec209;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;2;0;2;0;0;0;0;0;0;0;2;0;0
spec210;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
spec211;3;2;0;0;3;2;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2
spec212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec214;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;2;3;2;1;2
