kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Malva alcea;8;6;4;5;8;7;0.65;136.21;49.95;1375.5;27.58;perennials;3.9;NA;c (competitors);insect;0;Malvaceae
nie;Malva moschata;8;6;3;4;7;4;0.416666667;215.3333333;176.0648328;3094.666667;20.03333333;perennials;2.269;2836.833333;c (competitors);insect;Art vul;Malvaceae
nie;Malva neglecta;8;6;7;5;7;9;0.283333333;214;6.84;162;23.7;perennials;2.181428571;17094.22222;cr (competitors/ruderals);selfing;Ste med;Malvaceae
nie;Malva pusilla;8;7;7;4;5;5;0.17;151.51;45.93;1093;15.91;mixed;NA;3550.966667;cr (competitors/ruderals);selfing;Ste med;Malvaceae
nie;Malva sylvestris;8;6;3;4;7;8;0.575;171.22;341.6;7727.5;22.61;NA;2.960457143;700;c (competitors);insect;Ste med;Malvaceae
nie;Matteuccia struthiopteris;5;6;4;8;7;7;0.9;202.095;3693.195;116415.29;28.54704753;NA;NA;NA;cs (competitors/stress-tolerators);NA;Que-Fag;Athyriaceae
nie;Medicago falcata;8;6;7;3;9;3;NA;NA;NA;NA;NA;NA;NA;NA;cs (competitors/stress-tolerators);insect;Fes-Bro;Fabaceae
nie;Medicago lupulina;7;5;NA;4;8;NA;0.25;196;17.27838062;509.3333333;27.60181818;mixed;1.779927778;15274.34231;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Fabaceae
wysoka;Medicago minima;9;7;3;3;8;2;0.10625;250.5;NA;NA;26.56666667;annuals;0.89672;36.11538462;sr (stress-tolerators/ruderals);selfing;Fes-Bro;Fabaceae
nie;Medicago sativa;8;6;6;4;7;NA;NA;218.6666667;29.18779232;1288;25.8;NA;2.731333333;91144.66667;cs (competitors/stress-tolerators);insect;0;Fabaceae
wysoka;Melampyrum pratense;NA;NA;3;NA;3;2;0.24;205;7.49044586;240;26.28806585;annuals;5.66542;704.4261905;cr (competitors/ruderals);selfing;Tri-Ger;Scrophulariaceae
wysoka;Melica nutans;4;NA;3;4;NA;3;0.225;340;12.91303491;402;28.725;perennials;2.492059259;2490.771429;cs (competitors/stress-tolerators);wind;Que-Fag;Poaceae
nie;Melilotus albus;9;6;6;3;7;4;0.633333333;159.25;23.33;598;NA;mixed;2.8295;70978.15;cr (competitors/ruderals);selfing;Art vul;Fabaceae
niska;Melilotus altissimus;8;6;5;7;7;7;0.9;230;15.7699115;270;NA;perennials;3.930230769;830.6363636;cr (competitors/ruderals);insect;Art vul;Fabaceae
nie;Melilotus officinalis;8;6;6;3;8;3;1.075;237.6666667;46.89079553;607;19.375;mixed;2.958794737;29404.26667;cr (competitors/ruderals);selfing;Art vul;Fabaceae
niska;Mentha aquatica;7;5;3;9;7;5;0.383333333;179.62;40.61556358;1722.4375;30.02375;perennials;0.12832381;4;cs (competitors/stress-tolerators);insect;Phr aus;Lamiaceae
nie;Mentha arvensis;7;NA;NA;7;NA;NA;0.25;174.7514286;14.21285714;604.2514286;41.43571429;perennials;0.181206667;19327.73077;c (competitors);insect;0;Lamiaceae
